,Voltage,Current,Power,Time,Timestamp
0,224.51,2.56,574.75,2022-10-27 16:42:04.377829,1666863724.377829
1,224.51,2.56,574.75,2022-10-27 16:42:15.651318,1666863735.651318
2,224.43,2.57,576.79,2022-10-27 16:42:26.277548,1666863746.277548
3,224.56,2.57,577.12,2022-10-27 16:42:34.991760,1666863754.99176
4,224.43,2.57,576.79,2022-10-27 16:42:49.320734,1666863769.320734
5,224.54,2.56,574.82,2022-10-27 16:42:58.705882,1666863778.705882
6,224.48,2.57,576.91,2022-10-27 16:43:09.117489,1666863789.117489
7,224.56,2.57,577.12,2022-10-27 16:43:18.661098,1666863798.661098
8,224.5,2.57,576.96,2022-10-27 16:43:28.446230,1666863808.44623
9,224.49,2.57,576.94,2022-10-27 16:43:36.971988,1666863816.971988
10,224.58,2.57,577.17,2022-10-27 16:43:47.106054,1666863827.106054
11,224.51,2.57,576.99,2022-10-27 16:43:58.964642,1666863838.964642
12,224.44,2.56,574.57,2022-10-27 16:44:08.492084,1666863848.492084
13,224.44,2.57,576.81,2022-10-27 16:44:18.396396,1666863858.396396
14,224.62,2.57,577.27,2022-10-27 16:44:30.148398,1666863870.148398
15,224.56,2.57,577.12,2022-10-27 16:44:40.671458,1666863880.671458
16,224.53,2.57,577.04,2022-10-27 16:44:49.465925,1666863889.465925
17,224.65,2.57,577.35,2022-10-27 16:45:00.037888,1666863900.037888
18,224.86,2.57,577.89,2022-10-27 16:45:08.970768,1666863908.970768
19,224.64,2.57,577.32,2022-10-27 16:45:19.102830,1666863919.10283
20,224.67,2.57,577.4,2022-10-27 16:45:28.114636,1666863928.114636
21,224.67,2.56,575.16,2022-10-27 16:45:38.542449,1666863938.542449
22,224.51,2.67,599.44,2022-10-27 16:45:48.726784,1666863948.726784
23,224.59,0.05,11.23,2022-10-27 16:45:58.459385,1666863958.459385
24,224.54,0.04,8.98,2022-10-27 16:46:07.355626,1666863967.355626
25,224.54,112.5,25260.75,2022-10-27 16:46:22.424224,1666863982.424224
26,224.53,0.04,8.98,2022-10-27 16:46:32.431748,1666863992.431748
27,224.56,0.05,11.23,2022-10-27 16:46:42.335566,1666864002.335566
28,224.56,0.04,8.98,2022-10-27 16:46:52.380715,1666864012.380715
29,224.56,0.05,11.23,2022-10-27 16:47:01.316308,1666864021.316308
