,Voltage,Current,Power,Time,Timestamp
0,220.53,2.54,560.15,2022-11-14 15:47:02.698627,1668415622.698627
1,220.45,2.57,566.56,2022-11-14 15:47:08.914285,1668415628.914285
2,220.31,2.62,577.21,2022-11-14 15:47:20.629422,1668415640.629422
3,220.41,2.28,502.53,2022-11-14 15:47:29.425837,1668415649.425837
4,220.19,2.61,574.7,2022-11-14 15:47:36.555473,1668415656.555473
5,220.38,2.41,531.12,2022-11-14 15:47:43.354884,1668415663.354884
6,220.41,2.31,509.15,2022-11-14 15:47:50.006149,1668415670.006149
7,220.59,2.53,558.09,2022-11-14 15:47:56.627528,1668415676.627528
8,220.52,2.5,551.3,2022-11-14 15:48:04.910926,1668415684.910926
9,220.58,2.45,540.42,2022-11-14 15:48:14.902328,1668415694.902328
