,Voltage,Current,Power,Time,Timestamp
0,221.17,2.57,568.41,2022-11-14 16:51:57.129323,1668419517.129323
1,221.28,2.55,564.26,2022-11-14 16:52:05.149031,1668419525.149031
2,221.59,0.09,19.94,2022-11-14 16:52:11.986921,1668419531.986921
3,221.15,0.11,24.33,2022-11-14 16:52:21.881750,1668419541.88175
4,221.35,0.09,19.92,2022-11-14 16:52:28.361023,1668419548.361023
5,221.13,0.09,19.9,2022-11-14 16:52:35.413167,1668419555.413167
6,220.87,0.1,22.09,2022-11-14 16:52:41.035690,1668419561.03569
7,220.99,0.1,22.1,2022-11-14 16:52:47.919456,1668419567.919456
8,221.06,0.1,22.11,2022-11-14 16:52:54.381197,1668419574.381197
9,221.21,0.09,19.91,2022-11-14 16:53:02.121995,1668419582.121995
