,Voltage,Current,Power,Time,Timestamp
0,220.45,2.5,551.12,2022-11-14 15:47:02.698627,1668415622.698627
1,220.26,2.45,539.64,2022-11-14 15:47:08.914285,1668415628.914285
2,220.38,2.46,542.13,2022-11-14 15:47:20.629422,1668415640.629422
3,220.52,2.5,551.3,2022-11-14 15:47:29.425837,1668415649.425837
4,220.68,2.62,578.18,2022-11-14 15:47:36.555473,1668415656.555473
5,220.7,2.41,531.89,2022-11-14 15:47:43.354884,1668415663.354884
6,220.41,2.4,528.98,2022-11-14 15:47:50.006149,1668415670.006149
7,220.36,2.6,572.94,2022-11-14 15:47:56.627528,1668415676.627528
8,220.65,2.45,540.59,2022-11-14 15:48:04.910926,1668415684.910926
9,220.65,2.59,571.48,2022-11-14 15:48:14.902328,1668415694.902328
10,,,,2022-11-14 15:48:21.472133,1668415701.472133
11,,,,2022-11-14 15:48:27.299768,1668415707.299768
12,,,,2022-11-14 15:48:33.409198,1668415713.409198
13,,,,2022-11-14 15:48:46.290027,1668415726.290027
14,,,,2022-11-14 15:48:56.830637,1668415736.830637
15,,,,2022-11-14 15:49:06.449794,1668415746.449794
16,,,,2022-11-14 15:49:14.802650,1668415754.80265
17,,,,2022-11-14 15:49:26.614687,1668415766.614687
18,,,,2022-11-14 15:49:37.853608,1668415777.853608
19,,,,2022-11-14 15:49:46.462614,1668415786.462614
