,Voltage,Current,Power,Time,Timestamp
0,220.99,0.01,2.21,2022-11-14 15:10:47.651372,1668413447.651372
1,220.65,0.01,2.21,2022-11-14 15:10:56.118706,1668413456.118706
2,220.68,0.02,4.41,2022-11-14 15:11:02.346893,1668413462.346893
3,220.65,0.01,2.21,2022-11-14 15:11:08.698743,1668413468.698743
4,220.89,0.01,2.21,2022-11-14 15:11:15.483569,1668413475.483569
5,220.72,0.01,2.21,2022-11-14 15:11:22.013975,1668413482.013975
6,220.74,0.01,2.21,2022-11-14 15:11:28.879063,1668413488.879063
7,220.78,0.02,4.42,2022-11-14 15:11:35.550870,1668413495.55087
8,220.84,0.01,2.21,2022-11-14 15:11:43.122004,1668413503.122004
9,221.01,0.02,4.42,2022-11-14 15:11:49.401218,1668413509.401218
10,220.86,0.02,4.42,2022-11-14 15:11:55.833355,1668413515.833355
11,220.81,0.02,4.42,2022-11-14 15:12:03.101432,1668413523.101432
12,220.52,0.02,4.41,2022-11-14 15:12:09.238833,1668413529.238833
13,220.62,0.02,4.41,2022-11-14 15:12:16.008078,1668413536.008078
14,220.83,0.02,4.42,2022-11-14 15:12:22.557230,1668413542.55723
15,220.77,0.02,4.42,2022-11-14 15:12:29.007680,1668413549.00768
16,220.81,0.02,4.42,2022-11-14 15:12:35.669690,1668413555.66969
17,220.62,0.02,4.41,2022-11-14 15:12:42.517832,1668413562.517832
18,220.68,0.02,4.41,2022-11-14 15:12:49.455395,1668413569.455395
19,220.63,0.02,4.41,2022-11-14 15:12:55.296249,1668413575.296249
20,220.82,0.02,4.42,2022-11-14 15:13:02.048384,1668413582.048384
21,220.65,0.02,4.41,2022-11-14 15:13:08.916937,1668413588.916937
22,220.59,0.02,4.41,2022-11-14 15:13:15.990308,1668413595.990308
23,220.67,0.02,4.41,2022-11-14 15:13:22.335716,1668413602.335716
24,220.7,0.02,4.41,2022-11-14 15:13:29.107453,1668413609.107453
25,220.84,0.02,4.42,2022-11-14 15:13:37.666564,1668413617.666564
26,220.77,0.03,6.62,2022-11-14 15:13:44.896158,1668413624.896158
27,220.91,0.02,4.42,2022-11-14 15:13:52.042328,1668413632.042328
28,221.03,0.02,4.42,2022-11-14 15:13:58.980000,1668413638.98
29,220.65,0.02,4.41,2022-11-14 15:14:06.213702,1668413646.213702
30,220.36,0.02,4.41,2022-11-14 15:14:13.444167,1668413653.444167
31,220.63,0.02,4.41,2022-11-14 15:14:22.126107,1668413662.126107
32,220.96,0.01,2.21,2022-11-14 15:14:29.818432,1668413669.818432
33,220.94,0.02,4.42,2022-11-14 15:14:37.400033,1668413677.400033
34,220.94,0.02,4.42,2022-11-14 15:14:44.464742,1668413684.464742
35,220.79,0.02,4.42,2022-11-14 15:14:52.135166,1668413692.135166
36,220.63,0.02,4.41,2022-11-14 15:14:58.783531,1668413698.783531
37,220.53,0.02,4.41,2022-11-14 15:15:08.523112,1668413708.523112
