,Voltage,Current,Power,Time,Timestamp
0,221.04,1.29,285.14,2022-11-14 16:34:11.209656,1668418451.209656
1,221.18,1.42,314.08,2022-11-14 16:34:17.099420,1668418457.09942
2,221.17,1.48,327.33,2022-11-14 16:34:22.672950,1668418462.67295
3,220.83,1.44,318.0,2022-11-14 16:34:28.751357,1668418468.751357
4,220.78,1.45,320.13,2022-11-14 16:34:34.427614,1668418474.427614
5,221.07,1.51,333.82,2022-11-14 16:34:40.570083,1668418480.570083
6,221.02,1.49,329.32,2022-11-14 16:34:46.806791,1668418486.806791
7,221.15,1.51,333.94,2022-11-14 16:34:52.538341,1668418492.538341
8,221.08,1.4,309.51,2022-11-14 16:34:58.379578,1668418498.379578
9,221.07,1.34,296.23,2022-11-14 16:35:04.240617,1668418504.240617
10,,,,2022-11-14 16:35:13.124072,1668418513.124072
11,,,,2022-11-14 16:35:20.793485,1668418520.793485
12,,,,2022-11-14 16:35:27.836598,1668418527.836598
13,,,,2022-11-14 16:35:33.991370,1668418533.99137
14,,,,2022-11-14 16:35:40.772277,1668418540.772277
15,,,,2022-11-14 16:35:46.511084,1668418546.511084
16,,,,2022-11-14 16:35:52.625124,1668418552.625124
17,,,,2022-11-14 16:35:58.236288,1668418558.236288
18,,,,2022-11-14 16:36:04.089561,1668418564.089561
19,,,,2022-11-14 16:36:09.710527,1668418569.710527
20,,,,2022-11-14 16:36:15.546285,1668418575.546285
21,,,,2022-11-14 16:36:20.989895,1668418580.989895
22,,,,2022-11-14 16:36:27.634263,1668418587.634263
23,,,,2022-11-14 16:36:33.275281,1668418593.275281
24,,,,2022-11-14 16:36:39.527858,1668418599.527858
25,,,,2022-11-14 16:36:47.014937,1668418607.014937
26,,,,2022-11-14 16:36:52.646035,1668418612.646035
27,,,,2022-11-14 16:36:58.974907,1668418618.974907
28,,,,2022-11-14 16:37:04.627362,1668418624.627362
29,,,,2022-11-14 16:37:12.007107,1668418632.007107
