,Voltage,Current,Power,Time,Timestamp
73,220.81,0.02,4.42,2022-11-14 15:19:25.663994,1668413965.663994
74,220.88,0.02,4.42,2022-11-14 15:19:33.356693,1668413973.356693
75,220.41,0.02,4.41,2022-11-14 15:19:40.307245,1668413980.307245
76,220.81,0.02,4.42,2022-11-14 15:19:46.608789,1668413986.608789
77,221.02,0.02,4.42,2022-11-14 15:19:53.221166,1668413993.221166
78,220.62,0.03,6.62,2022-11-14 15:19:59.560720,1668413999.56072
79,220.36,0.02,4.41,2022-11-14 15:20:06.549632,1668414006.549632
80,220.67,0.02,4.41,2022-11-14 15:20:13.610315,1668414013.610315
81,220.89,0.02,4.42,2022-11-14 15:20:20.546534,1668414020.546534
82,220.5,0.02,4.41,2022-11-14 15:20:27.716419,1668414027.716419
83,220.54,0.02,4.41,2022-11-14 15:20:34.706400,1668414034.7064
84,220.97,0.03,6.63,2022-11-14 15:20:41.550595,1668414041.550595
85,220.55,0.03,6.62,2022-11-14 15:20:48.626838,1668414048.626838
86,220.96,0.02,4.42,2022-11-14 15:20:55.551589,1668414055.551589
87,220.63,0.03,6.62,2022-11-14 15:21:02.571427,1668414062.571427
88,220.59,0.02,4.41,2022-11-14 15:21:09.492530,1668414069.49253
89,220.58,0.03,6.62,2022-11-14 15:21:16.749905,1668414076.749905
90,220.86,0.02,4.42,2022-11-14 15:21:23.930251,1668414083.930251
91,220.93,0.02,4.42,2022-11-14 15:21:31.419966,1668414091.419966
92,220.55,0.02,4.41,2022-11-14 15:21:40.001013,1668414100.001013
93,220.39,0.02,4.41,2022-11-14 15:21:46.874474,1668414106.874474
94,220.78,0.03,6.62,2022-11-14 15:21:54.034903,1668414114.034903
95,220.5,0.03,6.61,2022-11-14 15:22:01.759239,1668414121.759239
96,220.88,0.02,4.42,2022-11-14 15:22:09.909409,1668414129.909409
97,220.76,0.02,4.42,2022-11-14 15:22:16.615363,1668414136.615363
98,220.96,0.03,6.63,2022-11-14 15:22:23.430596,1668414143.430596
99,220.59,0.03,6.62,2022-11-14 15:22:30.191485,1668414150.191485
100,,,,2022-11-14 15:22:37.271976,1668414157.271976
101,,,,2022-11-14 15:22:44.032719,1668414164.032719
102,,,,2022-11-14 15:22:51.366921,1668414171.366921
103,,,,2022-11-14 15:22:58.040836,1668414178.040836
104,,,,2022-11-14 15:23:08.259950,1668414188.25995
105,,,,2022-11-14 15:23:14.915387,1668414194.915387
106,,,,2022-11-14 15:23:22.819720,1668414202.81972
107,,,,2022-11-14 15:23:31.114682,1668414211.114682
108,,,,2022-11-14 15:23:39.194999,1668414219.194999
109,,,,2022-11-14 15:23:48.305280,1668414228.30528
110,,,,2022-11-14 15:23:55.425831,1668414235.425831
111,,,,2022-11-14 15:24:03.976077,1668414243.976077
112,,,,2022-11-14 15:24:10.986907,1668414250.986907
113,,,,2022-11-14 15:24:19.029163,1668414259.029163
114,,,,2022-11-14 15:24:26.092335,1668414266.092335
115,,,,2022-11-14 15:24:33.474386,1668414273.474386
116,,,,2022-11-14 15:24:40.442497,1668414280.442497
117,,,,2022-11-14 15:24:47.945952,1668414287.945952
118,,,,2022-11-14 15:24:55.004691,1668414295.004691
119,,,,2022-11-14 15:25:02.045890,1668414302.04589
120,,,,2022-11-14 15:25:09.003454,1668414309.003454
121,,,,2022-11-14 15:25:16.273257,1668414316.273257
122,,,,2022-11-14 15:25:23.785082,1668414323.785082
123,,,,2022-11-14 15:25:31.015696,1668414331.015696
124,,,,2022-11-14 15:25:38.207752,1668414338.207752
125,,,,2022-11-14 15:25:45.767872,1668414345.767872
126,,,,2022-11-14 15:25:54.682770,1668414354.68277
127,,,,2022-11-14 15:26:01.748805,1668414361.748805
128,,,,2022-11-14 15:26:09.199167,1668414369.199167
129,,,,2022-11-14 15:26:17.357831,1668414377.357831
130,,,,2022-11-14 15:26:24.483940,1668414384.48394
131,,,,2022-11-14 15:26:31.394416,1668414391.394416
132,,,,2022-11-14 15:26:38.210690,1668414398.21069
133,,,,2022-11-14 15:26:48.854447,1668414408.854447
134,,,,2022-11-14 15:26:59.033491,1668414419.033491
135,,,,2022-11-14 15:27:12.002198,1668414432.002198
136,,,,2022-11-14 15:27:24.067954,1668414444.067954
137,,,,2022-11-14 15:27:31.109969,1668414451.109969
138,,,,2022-11-14 15:27:38.897609,1668414458.897609
139,,,,2022-11-14 15:27:48.752583,1668414468.752583
140,,,,2022-11-14 15:28:00.395550,1668414480.39555
141,,,,2022-11-14 15:28:08.054565,1668414488.054565
142,,,,2022-11-14 15:28:19.386971,1668414499.386971
143,,,,2022-11-14 15:28:26.450673,1668414506.450673
144,,,,2022-11-14 15:28:33.673680,1668414513.67368
145,,,,2022-11-14 15:28:49.315653,1668414529.315653
146,,,,2022-11-14 15:28:57.696341,1668414537.696341
147,,,,2022-11-14 15:29:15.244501,1668414555.244501
148,,,,2022-11-14 15:29:28.450054,1668414568.450054
149,,,,2022-11-14 15:29:35.643517,1668414575.643517
150,,,,2022-11-14 15:29:50.212667,1668414590.212667
151,,,,2022-11-14 15:30:22.707819,1668414622.707819
152,,,,2022-11-14 15:30:37.456851,1668414637.456851
153,,,,2022-11-14 15:31:00.683802,1668414660.683802
154,,,,2022-11-14 15:31:19.303079,1668414679.303079
155,,,,2022-11-14 15:31:32.868066,1668414692.868066
156,,,,2022-11-14 15:31:40.034028,1668414700.034028
157,,,,2022-11-14 15:31:51.020215,1668414711.020215
158,,,,2022-11-14 15:32:03.324829,1668414723.324829
159,,,,2022-11-14 15:32:23.060980,1668414743.06098
160,,,,2022-11-14 15:32:37.645432,1668414757.645432
161,,,,2022-11-14 15:32:56.450015,1668414776.450015
162,,,,2022-11-14 15:33:07.708931,1668414787.708931
163,,,,2022-11-14 15:33:18.760561,1668414798.760561
164,,,,2022-11-14 15:33:35.608662,1668414815.608662
165,,,,2022-11-14 15:33:47.984469,1668414827.984469
166,,,,2022-11-14 15:34:00.093917,1668414840.093917
167,,,,2022-11-14 15:34:08.505133,1668414848.505133
168,,,,2022-11-14 15:34:19.581475,1668414859.581475
169,,,,2022-11-14 15:34:29.082016,1668414869.082016
170,,,,2022-11-14 15:34:43.132446,1668414883.132446
171,,,,2022-11-14 15:34:53.444626,1668414893.444626
172,,,,2022-11-14 15:35:03.832120,1668414903.83212
173,,,,2022-11-14 15:35:12.175326,1668414912.175326
174,,,,2022-11-14 15:35:25.708796,1668414925.708796
175,,,,2022-11-14 15:35:40.007889,1668414940.007889
176,,,,2022-11-14 15:35:48.987872,1668414948.987872
177,,,,2022-11-14 15:35:57.971963,1668414957.971963
178,,,,2022-11-14 15:36:06.720183,1668414966.720183
179,,,,2022-11-14 15:36:17.961547,1668414977.961547
180,,,,2022-11-14 15:36:27.482493,1668414987.482493
181,,,,2022-11-14 15:36:36.310983,1668414996.310983
182,,,,2022-11-14 15:36:47.058904,1668415007.058904
183,,,,2022-11-14 15:36:56.521692,1668415016.521692
184,,,,2022-11-14 15:37:04.256791,1668415024.256791
185,,,,2022-11-14 15:37:11.377582,1668415031.377582
186,,,,2022-11-14 15:37:24.071875,1668415044.071875
187,,,,2022-11-14 15:37:31.582332,1668415051.582332
188,,,,2022-11-14 15:37:41.988653,1668415061.988653
189,,,,2022-11-14 15:37:53.044081,1668415073.044081
190,,,,2022-11-14 15:38:02.198553,1668415082.198553
191,,,,2022-11-14 15:38:14.782266,1668415094.782266
192,,,,2022-11-14 15:38:24.915125,1668415104.915125
193,,,,2022-11-14 15:38:35.543462,1668415115.543462
194,,,,2022-11-14 15:38:42.703676,1668415122.703676
195,,,,2022-11-14 15:38:55.125599,1668415135.125599
196,,,,2022-11-14 15:39:03.599940,1668415143.59994
197,,,,2022-11-14 15:39:18.045188,1668415158.045188
198,,,,2022-11-14 15:39:30.918500,1668415170.9185
199,,,,2022-11-14 15:39:44.975302,1668415184.975302
